id_transaction,date_transaction,id_fournisseur,montant,devise,type_depense,mode_paiement,id_employe_initiateur,id_employe_validateur,statut_validation,numero_facture
TX-0002914,2024-09-06,FRS-00067,3321.042,TND,Prestation technique,Virement,EMP-025,EMP-006,Validé,FAC-79603
TX-0001741,2024-09-06,FRS-00108,237.281,TND,Location matériel,Virement,EMP-006,EMP-006,En attente,FAC-95678
TX-0000849,2024-09-06,FRS-00144,605.361,TND,Maintenance,Virement,EMP-002,EMP-016,Validé,FAC-47409
TX-0002669,2024-09-06,FRS-00049,1673.123,TND,Prestation technique,Chèque,EMP-002,EMP-024,En attente,FAC-52056
TX-0000241,2024-09-06,FRS-00048,7251.077,TND,Achat marchandise,Virement,EMP-021,EMP-005,Validé,FAC-28035
TX-0001629,2024-09-06,FRS-00026,503.476,TND,Achat marchandise,Virement,EMP-010,EMP-012,Validé,FAC-18200
TX-0001216,2024-09-06,FRS-00143,9195.949,TND,Prestation de conseil,Virement,EMP-013,EMP-005,Validé,FAC-95800
TX-0002707,2024-09-06,FRS-00114,1776.255,TND,Prestation technique,Virement,EMP-012,EMP-007,Validé,FAC-62028
TX-0000225,2024-09-06,FRS-00033,1018.041,TND,Maintenance,Virement,EMP-004,EMP-005,Validé,FAC-64381
TX-0000842,2024-09-06,FRS-00105,6748.556,TND,Prestation technique,Virement,EMP-001,EMP-021,Validé,FAC-95575
TX-0001931,2024-09-06,FRS-00067,2151.298,TND,Prestation de conseil,Virement,EMP-024,EMP-023,Validé,FAC-42477
TX-0001067,2024-09-06,FRS-00037,320.595,TND,Maintenance,Virement,EMP-013,EMP-012,Validé,FAC-87849
TX-0000832,2024-09-06,FRS-00078,435.926,TND,Location matériel,Virement,EMP-013,EMP-016,Validé,FAC-64172
TX-0001055,2024-09-06,FRS-00115,3520.299,TND,Maintenance,Virement,EMP-025,EMP-024,Validé,FAC-46129
TX-0002406,2024-09-06,FRS-00058,225.131,TND,Prestation de conseil,Virement,EMP-001,EMP-015,Validé,FAC-48602
TX-0000660,2024-09-06,FRS-00061,241.992,TND,Achat marchandise,Virement,EMP-022,EMP-023,Validé,FAC-82512
TX-0000509,2024-09-06,FRS-00135,223.944,TND,Emballage,Virement,EMP-001,EMP-004,Validé,FAC-26821
TX-0000841,2024-09-06,FRS-00039,438.943,TND,Prestation technique,Virement,EMP-008,EMP-015,Validé,FAC-63334
TX-0001623,2024-09-06,FRS-00149,7530.385,TND,Location matériel,Virement,EMP-020,EMP-012,Validé,FAC-66302
TX-0001108,2024-09-06,FRS-00114,2026.847,TND,Maintenance,Virement,EMP-011,EMP-002,Validé,FAC-74962
