type_fraude,reference
RIB partagé,FRS-00120/FRS-00065
Montant anormal,TX-0062283
Doublon de facture,TX-0044113
Création fournisseur juste avant paiement,FRS-00111
RIB partagé,FRS-00149/FRS-00123
Montant anormal,TX-0025113
Doublon de facture,TX-0017190
Création fournisseur juste avant paiement,FRS-00145
RIB partagé,FRS-00142/FRS-00041
Montant anormal,TX-0053260
Doublon de facture,TX-0077598
Création fournisseur juste avant paiement,FRS-00025
RIB partagé,FRS-00009/FRS-00119
Montant anormal,TX-0079803
Doublon de facture,TX-0014756
Création fournisseur juste avant paiement,FRS-00070
RIB partagé,FRS-00128/FRS-00104
Montant anormal,TX-0017462
Doublon de facture,TX-0050317
Création fournisseur juste avant paiement,FRS-00040
RIB partagé,FRS-00104/FRS-00011
Montant anormal,TX-0028468
Doublon de facture,TX-0074019
Création fournisseur juste avant paiement,FRS-00054
RIB partagé,FRS-00004/FRS-00068
Montant anormal,TX-0081828
Doublon de facture,TX-0036179
Création fournisseur juste avant paiement,FRS-00032
RIB partagé,FRS-00122/FRS-00018
Montant anormal,TX-0023729
Doublon de facture,TX-0001269
Création fournisseur juste avant paiement,FRS-00081
RIB partagé,FRS-00055/FRS-00045
Montant anormal,TX-0053671
Doublon de facture,TX-0002902
Création fournisseur juste avant paiement,FRS-00059
RIB partagé,FRS-00099/FRS-00142
Montant anormal,TX-0012002
Doublon de facture,TX-0047939
Création fournisseur juste avant paiement,FRS-00066
Montant anormal,TX-0031752
Doublon de facture,TX-0018091
Création fournisseur juste avant paiement,FRS-00035
RIB partagé,FRS-00131/FRS-00024
Montant anormal,TX-0067052
Doublon de facture,TX-0003232
Création fournisseur juste avant paiement,FRS-00017
RIB partagé,FRS-00146/FRS-00124
Montant anormal,TX-0042076
Doublon de facture,TX-0040505
Création fournisseur juste avant paiement,FRS-00090
RIB partagé,FRS-00037/FRS-00130
Montant anormal,TX-0025162
Doublon de facture,TX-0031221
Création fournisseur juste avant paiement,FRS-00057
RIB partagé,FRS-00014/FRS-00030
Montant anormal,TX-0048122
Doublon de facture,TX-0073157
Création fournisseur juste avant paiement,FRS-00121
RIB partagé,FRS-00093/FRS-00127
Doublon de facture,TX-0048680
Création fournisseur juste avant paiement,FRS-00062
RIB partagé,FRS-00024/FRS-00025
Montant anormal,TX-0057407
Doublon de facture,TX-0053754
Création fournisseur juste avant paiement,FRS-00009
RIB partagé,FRS-00069/FRS-00101
Montant anormal,TX-0032560
Doublon de facture,TX-0002725
Création fournisseur juste avant paiement,FRS-00021
RIB partagé,FRS-00110/FRS-00074
Montant anormal,TX-0064625
Doublon de facture,TX-0049958
Création fournisseur juste avant paiement,FRS-00064
RIB partagé,FRS-00015/FRS-00071
Montant anormal,TX-0026504
Doublon de facture,TX-0078147
Création fournisseur juste avant paiement,FRS-00134
RIB partagé,FRS-00001/FRS-00081
Montant anormal,TX-0038251
Doublon de facture,TX-0035390
Multi-signaux - Dérive progressive,FRS-00072
Multi-signaux - Dérive progressive,FRS-00026
Multi-signaux - Dérive progressive,FRS-00023
Multi-signaux - Dérive progressive,FRS-00102
Multi-signaux - Dérive progressive,FRS-00039
Multi-signaux - Dérive progressive,FRS-00019
Multi-signaux - Dérive progressive,FRS-00048
Multi-signaux - Dérive progressive,FRS-00085
Multi-signaux - Concentration employé,FRS-00005
Multi-signaux - Concentration employé,FRS-00089
Multi-signaux - Concentration employé,FRS-00113
Multi-signaux - Concentration employé,FRS-00056
Multi-signaux - Concentration employé,FRS-00049
Multi-signaux - Concentration employé,FRS-00079
Multi-signaux - Concentration employé,FRS-00061
Multi-signaux - Concentration employé,FRS-00028
Multi-signaux - Concentration employé,FRS-00116
Multi-signaux - Concentration employé,FRS-00016
Multi-signaux - Fréquence post-création,FRS-00138
Multi-signaux - Fréquence post-création,FRS-00118
Multi-signaux - Fréquence post-création,FRS-00078
Multi-signaux - Fréquence post-création,FRS-00091
Multi-signaux - Fréquence post-création,FRS-00147
Multi-signaux - Fréquence post-création,FRS-00046
Multi-signaux - Fréquence post-création,FRS-00126
Multi-signaux - Fréquence post-création,FRS-00082
Multi-signaux - Montant+timing,FRS-00144
Multi-signaux - Montant+timing,FRS-00010
Multi-signaux - Montant+timing,FRS-00125
Multi-signaux - Montant+timing,FRS-00095
Multi-signaux - Montant+timing,FRS-00008
Multi-signaux - Montant+timing,FRS-00106
Multi-signaux - Montant+timing,FRS-00136
Multi-signaux - Montant+timing,FRS-00033
Multi-signaux - Montant+timing,FRS-00063
