id_fournisseur,montant_moyen,montant_ecart_type,nb_transactions
FRS-00001,251.3945394495413,63.08567796182675,545
FRS-00002,500.7895553633218,124.47842796805449,578
FRS-00003,797.1713592400691,208.5784444027128,579
FRS-00004,6020.075768189509,1463.3838953276072,591
FRS-00005,9056.702149741825,2244.5628634544883,581
FRS-00006,804.6403273381295,203.21934239854752,556
FRS-00007,808.9345920577617,205.2985061709268,554
FRS-00008,871.4402149362478,224.04129459816954,549
FRS-00009,247.5906,57.09480692441922,80
FRS-00010,549.9423965517242,140.62388881126154,580
FRS-00011,8984.235919475655,2397.2529589122855,534
FRS-00012,495.28620695970693,124.0390005184565,546
FRS-00013,2944.106165202109,756.7217353686808,569
FRS-00014,5975.4416189591075,1569.4224400044795,538
FRS-00015,1496.0315355191256,375.5461376141695,549
FRS-00016,254.46484763572676,89.51200894569554,571
FRS-00017,493.62697156398104,130.32729721216413,211
FRS-00018,5947.218785460993,1493.7470642312924,564
FRS-00019,6269.177942105263,1626.7944209468217,570
FRS-00020,252.94346934865902,94.10723333527137,522
FRS-00021,252.79336712328765,67.21397675152811,365
FRS-00022,6058.173912811388,1462.1891880301912,562
FRS-00023,3139.767768292683,773.156767860823,574
FRS-00024,492.8243507462687,123.01725327465743,536
FRS-00025,1492.9970093896713,376.91900307653225,426
FRS-00026,1522.9630228873239,383.7535529733821,568
FRS-00027,1495.8187267759563,372.83199990236733,549
FRS-00028,804.6532205128206,292.52639169919155,585
FRS-00029,508.3607965217391,179.6882965606737,575
FRS-00030,789.9895336617406,200.03796110620823,609
FRS-00031,797.3298461538462,195.6715678265466,520
FRS-00032,6260.958333333333,1170.529632212273,9
FRS-00033,849.513455078125,229.84828937993547,512
FRS-00034,9026.010136820925,2241.1864473894266,497
FRS-00035,2980.3711388888887,762.2007881417164,504
FRS-00036,2964.158879518072,784.8924004052222,581
FRS-00037,248.24615555555553,60.82390303112588,585
FRS-00038,250.4764035087719,62.109479463571724,570
FRS-00039,520.7600719696969,134.41815574141987,528
FRS-00040,494.08972222222224,139.46959543976632,144
FRS-00041,9022.655355555555,2353.158585139324,540
FRS-00042,2964.978736263736,753.1865385299224,546
FRS-00043,250.27551063829787,61.42504226513506,517
FRS-00044,6131.8723131487895,1469.1765045598581,578
FRS-00045,248.96086631944445,62.242842704456095,576
FRS-00046,786.0350631399318,199.13701252530984,586
FRS-00047,1549.1837817531307,590.4322523522901,559
FRS-00048,6142.663536256324,2219.032192525392,593
FRS-00049,1523.1534903474903,372.9480531423124,518
FRS-00050,1527.600494047619,395.30372043672116,504
FRS-00051,3059.148384479718,1089.5716479845821,567
FRS-00052,1481.9279595782073,381.76933696041334,569
FRS-00053,1495.0549962476548,373.6478638088458,533
FRS-00054,804.6626180904523,218.5322957032627,199
FRS-00055,500.69885347985354,120.64933413042225,546
FRS-00056,9081.091922661872,2169.1869922835,556
FRS-00057,3054.1832090909093,2022.910019855845,330
FRS-00058,255.28604035087722,107.97579724696584,570
FRS-00059,786.0135777777778,217.18118097791165,180
FRS-00060,1520.8118576709796,638.8597643422487,541
FRS-00061,254.96826605504586,61.04559392180146,545
FRS-00062,802.8895884773663,209.0746006123218,243
FRS-00063,6511.630059753955,1740.7421119439405,569
FRS-00064,5867.846452887538,1582.5482069912605,329
FRS-00065,2984.4170017793595,820.9890988738753,562
FRS-00066,1547.2251610738256,976.9935891513667,298
FRS-00067,3026.484024029575,1407.7124432495616,541
FRS-00068,6026.625,1568.8669144023984,557
FRS-00069,806.1754354561102,218.1062493608325,581
FRS-00070,251.02567462039045,67.57989309047466,461
FRS-00071,492.7022437275986,131.40833859616657,558
FRS-00072,1548.4796114180479,432.90991328800476,543
FRS-00073,3058.426631768953,712.1196527327825,554
FRS-00074,250.44214840989397,61.05133059577175,566
FRS-00075,253.9940267686424,61.303578466420305,523
FRS-00076,499.0315956678701,160.3027546284559,554
FRS-00077,782.6762946428571,201.7918083920835,560
FRS-00078,501.8672286751361,127.32726494872242,551
FRS-00079,8980.39009057971,2233.6618532164716,552
FRS-00080,500.1612086956522,122.66215314087307,575
FRS-00081,9001.237103379723,2241.6377924015574,503
FRS-00082,798.3990632279534,206.38602063258213,601
FRS-00083,802.5702558139535,196.45333447482304,559
FRS-00084,794.6771835664335,204.7302281120501,572
FRS-00085,256.2652626811594,66.94142844634574,552
FRS-00086,249.5041245614035,60.49942158427556,570
FRS-00087,1502.9914112627985,369.46142193289984,586
FRS-00088,5961.460896030246,1533.0965717495258,529
FRS-00089,1517.1496619469026,366.40535929605295,565
FRS-00090,504.8581875,130.89477433534353,272
FRS-00091,498.2377257462686,127.25189927835635,536
FRS-00092,1519.1112532347504,411.6535049532429,541
FRS-00093,2989.590963414634,780.5597491653177,574
FRS-00095,541.9452114695341,141.3928781584238,558
FRS-00096,2979.2871118760754,729.4987682180711,581
FRS-00097,3004.098828729282,762.9506141151014,543
FRS-00098,8961.40109057971,2379.266822467413,552
FRS-00099,6115.519455938697,1537.4133572829924,522
FRS-00100,8889.236454372623,2304.721849126185,526
FRS-00101,826.23173183391,372.5796521194511,578
FRS-00102,261.30898042704627,71.70295632691318,562
FRS-00103,1487.4292708333332,368.8644287644982,576
FRS-00104,9165.06250262697,2287.0666902162343,571
FRS-00105,5985.264005199307,1473.0854247618256,577
FRS-00106,273.80494782608696,72.53347399210328,575
FRS-00107,1514.2916552901024,372.0299005739601,586
FRS-00108,251.1667830018083,62.39761736407648,553
FRS-00109,1498.3532944344704,388.7654885680253,557
FRS-00110,250.99555172413795,63.75495965567543,580
FRS-00111,9186.860042553191,1929.601990226744,94
FRS-00112,794.9542797927461,208.11399727960793,579
FRS-00113,3006.4730386554625,739.2461634849237,595
FRS-00114,1513.7703484087103,378.42881697169054,597
FRS-00115,3024.1948977272727,766.5620758265187,528
FRS-00116,1482.4255736842106,370.09237373880427,570
FRS-00117,6102.492511070111,1515.1646826869928,542
