id,type,degree,betweenness,id_communaute,suspect_collusion
FRS-00151,fournisseur,1,0.0,0,oui
EMP-030,employe,1,0.0,0,oui
FRS-00152,fournisseur,1,0.0,1,oui
EMP-031,employe,1,0.0,1,oui
EMP-032,employe,1,0.0,2,oui
FRS-00153,fournisseur,1,0.0,2,oui
EMP-033,employe,1,0.0,3,oui
FRS-00154,fournisseur,1,0.0,3,oui
EMP-034,employe,1,0.0,4,oui
FRS-00155,fournisseur,1,0.0,4,oui
EMP-035,employe,2,0.009523809523809525,5,oui
FRS-00156,fournisseur,1,0.0,5,oui
FRS-00158,fournisseur,1,0.0,5,oui
FRS-00157,fournisseur,2,0.009523809523809525,5,oui
FRS-00161,fournisseur,1,0.0,6,oui
EMP-036,employe,2,0.009523809523809525,6,oui
FRS-00159,fournisseur,1,0.0,6,oui
FRS-00160,fournisseur,2,0.009523809523809525,6,oui
FRS-00162,fournisseur,1,0.0,7,oui
FRS-00163,fournisseur,2,0.009523809523809525,7,oui
FRS-00164,fournisseur,1,0.0,7,oui
EMP-037,employe,2,0.009523809523809525,7,oui
